1	0	1000	0	-0.0030678733035
1	1	1000	-10	0
2	0	1000	0	-0.0030678733035
2	1	1000	0	-0.00178764846213
3	0	1000	0	-0.0030678733035
3	1	1000	0	-0.00178764846213
4	0	1000	0	-0.0030678733035
4	1	1000	0	-0.00178764846213
5	0	1000	0	-0.0030678733035
5	1	1000	0	-0.00178764846213
6	0	1000	0	-0.0030678733035
6	1	1000	0	-0.00178764846213
7	0	1000	0	-0.0030678733035
7	1	1000	0	-0.00178764846213
8	0	1000	0	-0.0030678733035
8	1	1000	0	-0.00178764846213
9	0	1000	0	-0.0030678733035
9	1	1000	0	-0.00178764846213
10	0	1000	0	-0.0030678733035
10	1	1000	0	-0.00178764846213
