# t [s]	f [Hz]	P [dBm]
0.689000	2419981308.000000	-63.580000

0.703000	2419981308.000000	-63.440000

0.716000	2419981308.000000	-63.580000

0.728000	2419981308.000000	-63.390000

0.742000	2419981308.000000	-63.140000

0.756000	2419981308.000000	-63.810000

0.769000	2419981308.000000	-63.660000

0.783000	2419981308.000000	-63.800000

0.797000	2419981308.000000	-63.700000

0.809000	2419981308.000000	-63.800000

0.823000	2419981308.000000	-63.540000

0.836000	2419981308.000000	-63.860000

0.848000	2419981308.000000	-63.270000

0.862000	2419981308.000000	-63.630000

0.876000	2419981308.000000	-63.240000

0.890000	2419981308.000000	-63.380000

0.903000	2419981308.000000	-63.230000

0.917000	2419981308.000000	-64.480000

0.929000	2419981308.000000	-63.200000

0.943000	2419981308.000000	-63.430000

0.956000	2419981308.000000	-63.750000

0.968000	2419981308.000000	-63.740000

0.982000	2419981308.000000	-63.380000

0.996000	2419981308.000000	-63.430000

1.010000	2419981308.000000	-63.340000

1.023000	2419981308.000000	-63.620000

1.037000	2419981308.000000	-63.740000

1.049000	2419981308.000000	-63.240000

1.063000	2419981308.000000	-63.180000

1.076000	2419981308.000000	-63.690000

1.088000	2419981308.000000	-63.340000

1.102000	2419981308.000000	-63.390000

1.116000	2419981308.000000	-64.440000

1.128000	2419981308.000000	-63.290000

1.142000	2419981308.000000	-63.290000

1.155000	2419981308.000000	-63.190000

1.177000	2419981308.000000	-63.550000

1.191000	2419981308.000000	-63.810000

1.205000	2419981308.000000	-63.370000

1.219000	2419981308.000000	-63.480000

1.232000	2419981308.000000	-63.630000

1.246000	2419981308.000000	-63.640000

1.258000	2419981308.000000	-63.140000

1.272000	2419981308.000000	-63.700000

1.285000	2419981308.000000	-64.020000

1.297000	2419981308.000000	-62.990000

1.311000	2419981308.000000	-63.660000

1.325000	2419981308.000000	-63.550000

1.339000	2419981308.000000	-63.520000

1.352000	2419981308.000000	-63.430000

1.366000	2419981308.000000	-64.030000

1.378000	2419981308.000000	-63.080000

1.407000	2419981308.000000	-64.130000

1.419000	2419981308.000000	-63.460000

1.432000	2419981308.000000	-63.390000

1.446000	2419981308.000000	-63.920000

1.458000	2419981308.000000	-63.540000

1.472000	2419981308.000000	-63.330000

1.486000	2419981308.000000	-64.160000

1.498000	2419981308.000000	-63.740000

1.511000	2419981308.000000	-63.280000

1.525000	2419981308.000000	-63.440000

1.539000	2419981308.000000	-63.350000

1.552000	2419981308.000000	-63.120000

1.566000	2419981308.000000	-63.790000

1.578000	2419981308.000000	-63.480000

1.592000	2419981308.000000	-63.230000

1.606000	2419981308.000000	-63.810000

1.618000	2419981308.000000	-63.380000

1.631000	2419981308.000000	-63.670000

1.645000	2419981308.000000	-63.570000

1.657000	2419981308.000000	-63.320000

1.671000	2419981308.000000	-63.850000

1.685000	2419981308.000000	-63.830000

1.698000	2419981308.000000	-63.760000

1.712000	2419981308.000000	-64.060000

1.726000	2419981308.000000	-64.050000

1.738000	2419981308.000000	-63.340000

1.751000	2419981308.000000	-63.880000

1.765000	2419981308.000000	-64.270000

1.777000	2419981308.000000	-63.430000

1.791000	2419981308.000000	-63.770000

1.805000	2419981308.000000	-63.770000

1.818000	2419981308.000000	-63.330000

1.832000	2419981308.000000	-63.380000

1.846000	2419981308.000000	-63.850000

1.864000	2419981308.000000	-63.960000

1.878000	2419981308.000000	-63.330000

1.891000	2419981308.000000	-63.910000

1.905000	2419981308.000000	-64.080000

1.916000	2419981308.000000	-63.750000

1.930000	2419981308.000000	-63.520000

1.943000	2419981308.000000	-63.780000

1.957000	2419981308.000000	-63.340000

1.970000	2419981308.000000	-64.130000

1.984000	2419981308.000000	-64.000000

1.997000	2419981308.000000	-63.390000

2.019000	2419981308.000000	-63.430000

