# t [s]	f [Hz]	P [dBm]
0.994000	2419981308.000000	-66.950000

1.008000	2419981308.000000	-66.090000

1.023000	2419981308.000000	-67.230000

1.037000	2419981308.000000	-66.730000

1.051000	2419981308.000000	-66.810000

1.065000	2419981308.000000	-66.450000

1.079000	2419981308.000000	-65.850000

1.093000	2419981308.000000	-66.870000

1.107000	2419981308.000000	-67.630000

1.122000	2419981308.000000	-66.960000

1.136000	2419981308.000000	-66.780000

1.150000	2419981308.000000	-67.420000

1.164000	2419981308.000000	-66.570000

1.178000	2419981308.000000	-66.290000

1.192000	2419981308.000000	-66.210000

1.206000	2419981308.000000	-66.740000

1.221000	2419981308.000000	-66.090000

1.235000	2419981308.000000	-66.590000

1.249000	2419981308.000000	-66.580000

1.263000	2419981308.000000	-66.690000

1.277000	2419981308.000000	-66.810000

1.291000	2419981308.000000	-66.270000

1.305000	2419981308.000000	-66.720000

1.320000	2419981308.000000	-66.690000

1.334000	2419981308.000000	-66.580000

1.348000	2419981308.000000	-67.530000

1.362000	2419981308.000000	-67.380000

1.376000	2419981308.000000	-66.130000

1.390000	2419981308.000000	-67.490000

1.404000	2419981308.000000	-66.830000

1.419000	2419981308.000000	-67.710000

1.433000	2419981308.000000	-66.840000

1.447000	2419981308.000000	-66.730000

1.461000	2419981308.000000	-67.160000

1.475000	2419981308.000000	-67.280000

1.489000	2419981308.000000	-67.850000

1.504000	2419981308.000000	-67.250000

1.518000	2419981308.000000	-67.370000

1.532000	2419981308.000000	-67.890000

1.546000	2419981308.000000	-67.090000

1.560000	2419981308.000000	-67.520000

1.574000	2419981308.000000	-67.810000

1.588000	2419981308.000000	-66.090000

1.603000	2419981308.000000	-67.390000

1.617000	2419981308.000000	-67.130000

1.631000	2419981308.000000	-66.810000

1.660000	2419981308.000000	-67.730000

1.674000	2419981308.000000	-68.090000

1.688000	2419981308.000000	-67.240000

1.711000	2419981308.000000	-66.190000

1.725000	2419981308.000000	-67.050000

1.739000	2419981308.000000	-67.590000

1.754000	2419981308.000000	-66.750000

1.768000	2419981308.000000	-67.050000

1.782000	2419981308.000000	-67.400000

1.796000	2419981308.000000	-66.810000

1.810000	2419981308.000000	-67.200000

1.824000	2419981308.000000	-66.690000

1.839000	2419981308.000000	-66.920000

1.853000	2419981308.000000	-66.010000

1.867000	2419981308.000000	-66.790000

1.881000	2419981308.000000	-66.430000

1.895000	2419981308.000000	-66.600000

1.909000	2419981308.000000	-67.340000

1.923000	2419981308.000000	-66.230000

1.938000	2419981308.000000	-67.570000

1.952000	2419981308.000000	-66.620000

1.966000	2419981308.000000	-66.860000

1.980000	2419981308.000000	-67.030000

1.994000	2419981308.000000	-66.480000

2.008000	2419981308.000000	-66.630000

