# t [s]	f [Hz]	P [dBm]
0.522000	2419981308.000000	-88.420000

0.534000	2419981308.000000	-87.670000

0.548000	2419981308.000000	-89.220000

0.562000	2419981308.000000	-88.050000

0.575000	2419981308.000000	-88.860000

0.589000	2419981308.000000	-87.870000

0.603000	2419981308.000000	-88.580000

0.615000	2419981308.000000	-88.540000

0.629000	2419981308.000000	-86.910000

0.643000	2419981308.000000	-87.380000

0.657000	2419981308.000000	-89.000000

0.671000	2419981308.000000	-87.950000

0.685000	2419981308.000000	-87.680000

0.699000	2419981308.000000	-88.080000

0.713000	2419981308.000000	-89.300000

0.727000	2419981308.000000	-87.960000

0.742000	2419981308.000000	-88.260000

0.756000	2419981308.000000	-88.420000

0.770000	2419981308.000000	-88.560000

0.784000	2419981308.000000	-88.340000

0.798000	2419981308.000000	-89.050000

0.812000	2419981308.000000	-87.840000

0.824000	2419981308.000000	-87.990000

0.853000	2419981308.000000	-87.660000

0.867000	2419981308.000000	-87.980000

0.881000	2419981308.000000	-87.380000

0.896000	2419981308.000000	-87.420000

0.910000	2419981308.000000	-88.900000

0.924000	2419981308.000000	-87.140000

0.938000	2419981308.000000	-87.220000

0.952000	2419981308.000000	-86.920000

0.964000	2419981308.000000	-86.820000

0.978000	2419981308.000000	-87.420000

0.992000	2419981308.000000	-89.150000

1.004000	2419981308.000000	-88.300000

1.019000	2419981308.000000	-89.020000

1.033000	2419981308.000000	-88.280000

1.045000	2419981308.000000	-86.580000

1.059000	2419981308.000000	-88.150000

1.073000	2419981308.000000	-88.860000

1.085000	2419981308.000000	-90.500000

1.099000	2419981308.000000	-86.740000

1.113000	2419981308.000000	-88.430000

1.136000	2419981308.000000	-87.540000

1.150000	2419981308.000000	-88.120000

1.164000	2419981308.000000	-86.760000

1.178000	2419981308.000000	-87.240000

1.192000	2419981308.000000	-89.530000

1.205000	2419981308.000000	-87.520000

1.219000	2419981308.000000	-88.720000

1.233000	2419981308.000000	-89.560000

1.245000	2419981308.000000	-87.860000

1.259000	2419981308.000000	-88.710000

1.273000	2419981308.000000	-87.180000

1.285000	2419981308.000000	-88.640000

1.299000	2419981308.000000	-88.210000

1.314000	2419981308.000000	-89.190000

1.328000	2419981308.000000	-88.130000

1.342000	2419981308.000000	-88.800000

1.356000	2419981308.000000	-88.700000

1.370000	2419981308.000000	-90.000000

1.384000	2419981308.000000	-88.930000

1.398000	2419981308.000000	-89.580000

1.412000	2419981308.000000	-89.200000

1.424000	2419981308.000000	-88.970000

1.438000	2419981308.000000	-88.660000

1.452000	2419981308.000000	-88.360000

1.465000	2419981308.000000	-88.060000

1.479000	2419981308.000000	-89.050000

1.493000	2419981308.000000	-88.240000

1.505000	2419981308.000000	-87.890000

1.519000	2419981308.000000	-88.550000

1.533000	2419981308.000000	-88.290000

1.545000	2419981308.000000	-88.200000

1.559000	2419981308.000000	-86.460000

1.589000	2419981308.000000	-88.240000

1.603000	2419981308.000000	-88.290000

1.615000	2419981308.000000	-87.710000

1.629000	2419981308.000000	-89.050000

1.643000	2419981308.000000	-88.220000

1.656000	2419981308.000000	-88.520000

1.670000	2419981308.000000	-86.110000

1.684000	2419981308.000000	-88.050000

1.698000	2419981308.000000	-87.640000

1.712000	2419981308.000000	-88.020000

1.726000	2419981308.000000	-90.580000

1.747000	2419981308.000000	-90.520000

1.761000	2419981308.000000	-86.840000

1.774000	2419981308.000000	-85.860000

1.788000	2419981308.000000	-87.260000

1.802000	2419981308.000000	-88.660000

1.816000	2419981308.000000	-87.620000

1.829000	2419981308.000000	-86.860000

1.843000	2419981308.000000	-88.280000

1.855000	2419981308.000000	-87.560000

1.869000	2419981308.000000	-88.900000

1.883000	2419981308.000000	-89.180000

1.895000	2419981308.000000	-88.350000

1.909000	2419981308.000000	-88.870000

1.923000	2419981308.000000	-88.920000

1.935000	2419981308.000000	-87.960000

1.948000	2419981308.000000	-88.850000

1.962000	2419981308.000000	-88.600000

1.974000	2419981308.000000	-87.710000

1.997000	2419981308.000000	-87.800000

2.010000	2419981308.000000	-89.030000

