# t [s]	f [Hz]	P [dBm]
0.419000	2419981308.000000	-81.590000

0.433000	2419981308.000000	-83.070000

0.446000	2419981308.000000	-82.550000

0.460000	2419981308.000000	-82.120000

0.474000	2419981308.000000	-82.030000

0.487000	2419981308.000000	-82.550000

0.501000	2419981308.000000	-83.210000

0.515000	2419981308.000000	-81.780000

0.539000	2419981308.000000	-81.820000

0.553000	2419981308.000000	-81.760000

0.566000	2419981308.000000	-81.850000

0.580000	2419981308.000000	-82.710000

0.594000	2419981308.000000	-82.220000

0.606000	2419981308.000000	-82.230000

0.620000	2419981308.000000	-80.910000

0.634000	2419981308.000000	-82.370000

0.649000	2419981308.000000	-82.620000

0.663000	2419981308.000000	-81.600000

0.675000	2419981308.000000	-81.330000

0.689000	2419981308.000000	-80.880000

0.703000	2419981308.000000	-82.220000

0.716000	2419981308.000000	-82.690000

0.730000	2419981308.000000	-82.130000

0.744000	2419981308.000000	-82.950000

0.756000	2419981308.000000	-82.000000

0.770000	2419981308.000000	-81.680000

0.785000	2419981308.000000	-81.900000

0.799000	2419981308.000000	-82.220000

0.813000	2419981308.000000	-81.930000

0.825000	2419981308.000000	-81.550000

0.839000	2419981308.000000	-81.970000

0.853000	2419981308.000000	-84.200000

0.866000	2419981308.000000	-82.440000

0.880000	2419981308.000000	-83.030000

0.894000	2419981308.000000	-81.090000

0.908000	2419981308.000000	-82.000000

0.922000	2419981308.000000	-82.740000

0.936000	2419981308.000000	-81.500000

0.950000	2419981308.000000	-82.260000

0.964000	2419981308.000000	-81.790000

0.979000	2419981308.000000	-82.170000

0.993000	2419981308.000000	-81.120000

1.005000	2419981308.000000	-81.300000

1.019000	2419981308.000000	-82.390000

1.033000	2419981308.000000	-82.140000

1.046000	2419981308.000000	-82.650000

1.075000	2419981308.000000	-81.940000

1.089000	2419981308.000000	-81.440000

1.103000	2419981308.000000	-82.690000

1.115000	2419981308.000000	-81.700000

1.130000	2419981308.000000	-81.750000

1.144000	2419981308.000000	-83.480000

1.158000	2419981308.000000	-81.510000

1.172000	2419981308.000000	-82.210000

1.186000	2419981308.000000	-80.550000

1.200000	2419981308.000000	-81.650000

1.214000	2419981308.000000	-81.830000

1.228000	2419981308.000000	-81.720000

1.242000	2419981308.000000	-82.890000

1.255000	2419981308.000000	-81.390000

1.269000	2419981308.000000	-82.430000

1.283000	2419981308.000000	-81.860000

1.296000	2419981308.000000	-82.310000

1.310000	2419981308.000000	-82.990000

1.324000	2419981308.000000	-80.860000

1.338000	2419981308.000000	-81.140000

1.352000	2419981308.000000	-82.060000

1.365000	2419981308.000000	-80.950000

1.389000	2419981308.000000	-81.450000

1.403000	2419981308.000000	-82.210000

1.416000	2419981308.000000	-81.510000

1.430000	2419981308.000000	-82.470000

1.444000	2419981308.000000	-82.320000

1.458000	2419981308.000000	-81.750000

1.472000	2419981308.000000	-81.850000

1.485000	2419981308.000000	-81.910000

1.499000	2419981308.000000	-82.270000

1.513000	2419981308.000000	-82.090000

1.526000	2419981308.000000	-81.630000

1.540000	2419981308.000000	-81.460000

1.554000	2419981308.000000	-81.810000

1.568000	2419981308.000000	-82.530000

1.582000	2419981308.000000	-82.970000

1.595000	2419981308.000000	-81.340000

1.609000	2419981308.000000	-82.240000

1.623000	2419981308.000000	-82.920000

1.642000	2419981308.000000	-82.570000

1.655000	2419981308.000000	-81.600000

1.669000	2419981308.000000	-82.560000

1.682000	2419981308.000000	-82.370000

1.695000	2419981308.000000	-81.420000

1.708000	2419981308.000000	-82.170000

1.722000	2419981308.000000	-82.480000

1.735000	2419981308.000000	-82.080000

1.748000	2419981308.000000	-82.010000

1.762000	2419981308.000000	-83.000000

1.775000	2419981308.000000	-81.600000

1.803000	2419981308.000000	-81.270000

1.817000	2419981308.000000	-82.370000

1.831000	2419981308.000000	-81.860000

1.845000	2419981308.000000	-81.290000

1.859000	2419981308.000000	-82.100000

1.872000	2419981308.000000	-82.230000

1.885000	2419981308.000000	-82.170000

1.898000	2419981308.000000	-81.300000

1.912000	2419981308.000000	-81.420000

1.925000	2419981308.000000	-81.320000

1.938000	2419981308.000000	-82.380000

1.952000	2419981308.000000	-83.180000

1.965000	2419981308.000000	-81.450000

1.978000	2419981308.000000	-81.460000

1.992000	2419981308.000000	-81.470000

2.005000	2419981308.000000	-81.470000

