# t [s]	f [Hz]	P [dBm]
1.009000	2419981308.000000	-90.970000

1.023000	2419981308.000000	-90.430000

1.035000	2419981308.000000	-90.730000

1.049000	2419981308.000000	-91.210000

1.063000	2419981308.000000	-92.120000

1.075000	2419981308.000000	-91.160000

1.088000	2419981308.000000	-91.580000

1.102000	2419981308.000000	-90.640000

1.116000	2419981308.000000	-91.010000

1.130000	2419981308.000000	-89.590000

1.143000	2419981308.000000	-92.680000

1.155000	2419981308.000000	-91.740000

1.169000	2419981308.000000	-90.870000

1.183000	2419981308.000000	-91.580000

1.204000	2419981308.000000	-91.530000

1.216000	2419981308.000000	-91.480000

1.229000	2419981308.000000	-91.010000

1.243000	2419981308.000000	-90.600000

1.255000	2419981308.000000	-90.930000

1.269000	2419981308.000000	-90.290000

1.283000	2419981308.000000	-92.020000

1.295000	2419981308.000000	-92.980000

1.309000	2419981308.000000	-90.840000

1.322000	2419981308.000000	-91.560000

1.336000	2419981308.000000	-90.120000

1.350000	2419981308.000000	-92.570000

1.364000	2419981308.000000	-91.110000

1.376000	2419981308.000000	-91.120000

1.389000	2419981308.000000	-92.300000

1.403000	2419981308.000000	-91.910000

1.415000	2419981308.000000	-89.670000

1.429000	2419981308.000000	-91.980000

1.443000	2419981308.000000	-92.110000

1.455000	2419981308.000000	-91.050000

1.469000	2419981308.000000	-91.610000

1.482000	2419981308.000000	-90.620000

1.496000	2419981308.000000	-91.510000

1.510000	2419981308.000000	-91.300000

1.524000	2419981308.000000	-92.140000

1.536000	2419981308.000000	-90.410000

1.549000	2419981308.000000	-92.310000

1.563000	2419981308.000000	-92.420000

1.575000	2419981308.000000	-91.170000

1.589000	2419981308.000000	-90.990000

1.603000	2419981308.000000	-91.440000

1.617000	2419981308.000000	-92.160000

1.630000	2419981308.000000	-91.040000

1.644000	2419981308.000000	-90.190000

1.656000	2419981308.000000	-92.280000

1.685000	2419981308.000000	-90.920000

1.699000	2419981308.000000	-91.770000

1.712000	2419981308.000000	-91.990000

1.726000	2419981308.000000	-90.440000

1.740000	2419981308.000000	-89.710000

1.753000	2419981308.000000	-91.840000

1.766000	2419981308.000000	-91.280000

1.779000	2419981308.000000	-92.040000

1.793000	2419981308.000000	-90.320000

1.807000	2419981308.000000	-92.260000

1.820000	2419981308.000000	-91.730000

1.834000	2419981308.000000	-91.290000

1.846000	2419981308.000000	-91.010000

1.860000	2419981308.000000	-91.390000

1.874000	2419981308.000000	-91.450000

1.886000	2419981308.000000	-91.340000

1.900000	2419981308.000000	-91.620000

1.913000	2419981308.000000	-91.790000

1.926000	2419981308.000000	-92.200000

1.939000	2419981308.000000	-91.920000

1.953000	2419981308.000000	-91.270000

1.967000	2419981308.000000	-90.280000

1.980000	2419981308.000000	-89.590000

1.994000	2419981308.000000	-90.700000

2.006000	2419981308.000000	-90.570000

